date,open,high,low,close,volume,openinterest,ma
2018-01-02,12.375,12.535,12.365,12.445,22717.0,0.0,0.0
2018-01-03,12.445,12.565,12.415,12.425,21875.0,0.0,0.0
2018-01-04,12.415,12.495,12.325,12.415,36348.0,0.0,0.0
2018-01-05,12.425,12.505,12.345,12.485,20876.0,0.0,0.0
2018-01-08,12.435,12.505,12.345,12.455,28576.0,0.0,0.0
2018-01-09,12.445,12.495,12.375,12.445,17198.0,0.0,0.0
2018-01-10,12.395,12.405,12.215,12.375,15772.0,0.0,0.0
2018-01-11,12.315,12.355,12.265,12.315,13554.0,0.0,0.0
2018-01-12,12.345,12.365,12.205,12.215,16922.0,0.0,0.0
2018-01-15,12.215,12.395,11.975,12.205,34232.0,0.0,0.0
2018-01-16,12.185,12.375,11.895,12.115,42265.0,0.0,0.0
2018-01-17,12.045,12.065,11.885,12.025,20934.0,0.0,0.0
2018-01-18,12.035,12.055,11.985,12.045,19650.0,0.0,0.0
2018-01-19,12.065,12.085,11.975,12.015,18359.0,0.0,0.0
2018-01-22,11.975,12.115,11.785,12.105,52757.0,0.0,0.0
2018-01-23,12.095,12.215,11.995,12.105,27182.0,0.0,0.0
2018-01-24,12.165,12.365,12.125,12.325,33233.0,0.0,0.0
2018-01-25,12.275,12.515,12.275,12.315,23677.0,0.0,0.0
2018-01-26,12.385,12.385,12.095,12.155,18575.0,0.0,0.0
2018-01-29,12.155,12.215,11.995,12.115,14988.0,0.0,0.0
2018-01-30,12.085,12.175,12.015,12.105,8347.0,0.0,0.0
2018-01-31,12.055,12.805,12.005,12.315,56438.0,0.0,0.0
2018-02-01,12.155,12.395,11.755,11.805,32755.0,0.0,0.0
2018-02-02,11.705,12.035,11.485,11.555,58750.0,0.0,0.0
2018-02-05,11.555,11.905,11.485,11.815,35405.0,0.0,0.0
2018-02-06,11.635,11.875,11.605,11.605,27165.0,0.0,0.0
2018-02-07,11.665,11.825,11.205,11.605,37125.0,0.0,0.0
2018-02-08,11.495,11.785,11.435,11.785,26989.0,0.0,0.0
2018-02-09,11.645,12.055,11.555,11.795,76158.0,0.0,0.0
2018-02-12,11.775,12.035,11.715,11.935,18529.0,0.0,0.0
2018-02-13,12.105,12.365,11.885,11.915,14841.0,0.0,0.0
2018-02-14,11.805,12.035,11.805,11.955,9255.0,0.0,0.0
2018-02-22,12.005,12.075,11.935,12.025,27533.0,0.0,0.0
2018-02-23,11.995,12.055,11.905,11.955,11323.0,0.0,0.0
2018-02-26,11.955,12.105,11.915,12.065,14114.0,0.0,0.0
2018-02-27,12.045,12.095,12.005,12.045,11854.0,0.0,0.0
2018-02-28,12.045,12.155,11.985,12.095,30274.0,0.0,0.0
2018-03-01,12.075,12.125,12.015,12.085,14235.0,0.0,0.0
2018-03-02,12.105,12.175,12.015,12.055,15992.0,0.0,0.0
2018-03-05,12.095,12.115,11.935,12.055,10639.0,0.0,0.0
2018-03-06,11.905,12.305,11.695,12.125,55123.0,0.0,0.0
2018-03-07,12.015,12.015,11.735,11.765,29598.0,0.0,0.0
2018-03-08,11.755,11.885,11.725,11.835,13170.0,0.0,0.0
2018-03-09,11.765,11.885,11.765,11.875,13270.0,0.0,0.0
2018-03-12,11.955,11.995,11.885,11.995,26572.0,0.0,0.0
2018-03-13,11.955,12.065,11.935,11.985,21187.0,0.0,0.0
2018-03-14,12.055,12.075,11.945,12.045,27841.0,0.0,0.0
2018-03-15,11.985,12.005,11.805,11.875,19478.0,0.0,0.0
2018-03-16,11.935,11.945,11.815,11.905,11214.0,0.0,0.0
2018-03-19,11.975,12.005,11.815,11.925,14262.0,0.0,0.0
2018-03-20,11.865,11.955,11.865,11.915,9982.0,0.0,0.0
2018-03-21,11.935,12.005,11.905,11.915,19810.0,0.0,0.0
2018-03-22,11.975,11.975,11.845,11.875,12773.0,0.0,0.0
2018-03-23,11.755,11.755,11.325,11.565,37991.0,0.0,0.0
2018-03-26,11.385,11.715,11.325,11.665,33030.0,0.0,0.0
2018-03-27,11.685,12.275,11.665,12.225,51316.0,0.0,0.0
2018-03-28,12.225,12.275,11.955,12.235,30222.0,0.0,0.0
2018-03-29,12.175,12.275,12.095,12.235,12323.0,0.0,0.0
2018-03-30,12.235,12.345,12.105,12.325,19319.0,0.0,0.0
2018-04-02,12.205,12.315,12.155,12.155,9670.0,0.0,0.0
2018-04-03,12.155,12.155,12.015,12.075,6900.0,0.0,0.0
2018-04-04,12.055,12.135,11.995,11.995,7663.0,0.0,0.0
2018-04-09,12.055,12.155,12.005,12.135,11675.0,0.0,0.0
2018-04-10,12.175,12.375,12.135,12.295,25904.0,0.0,0.0
2018-04-11,12.605,12.755,12.385,12.445,62966.0,0.0,0.0
2018-04-12,12.305,12.475,12.205,12.455,29482.0,0.0,0.0
2018-04-13,12.525,12.645,12.325,12.355,21853.0,0.0,0.0
2018-04-16,12.205,12.235,11.935,12.225,27704.0,0.0,0.0
2018-04-17,12.185,12.405,12.125,12.315,44062.0,0.0,0.0
2018-04-18,12.335,12.395,12.015,12.165,31416.0,0.0,0.0
2018-04-19,12.265,12.965,12.265,12.655,118565.0,0.0,0.0
2018-04-20,12.425,12.485,12.035,12.105,59632.0,0.0,0.0
2018-04-23,11.935,12.005,11.405,11.545,63249.0,0.0,0.0
2018-04-24,10.705,11.365,10.705,11.335,85417.0,0.0,0.0
2018-04-25,11.165,11.265,10.955,11.175,52001.0,0.0,0.0
2018-04-26,11.195,11.225,10.955,10.995,37297.0,0.0,0.0
2018-04-27,11.155,11.155,10.855,11.055,68409.0,0.0,0.0
2018-05-02,11.045,11.095,10.905,10.985,37469.0,0.0,0.0
2018-05-03,11.005,11.045,10.855,11.015,26108.0,0.0,0.0
