date,open,high,low,close,volume,openinterest,ma
2018-01-02,9.8,9.925,9.775,9.908,50029.0,0.0,0.0
2018-01-03,9.883,10.258,9.858,10.142,98175.0,0.0,0.0
2018-01-04,10.108,10.617,10.042,10.592,94774.0,0.0,0.0
2018-01-05,10.358,10.5,10.242,10.242,102781.0,0.0,0.0
2018-01-08,10.25,10.292,10.05,10.183,51960.0,0.0,0.0
2018-01-09,10.133,10.175,10.042,10.058,49403.0,0.0,0.0
2018-01-10,10.133,10.25,10.058,10.242,67714.0,0.0,0.0
2018-01-11,10.208,10.417,10.075,10.308,59168.0,0.0,0.0
2018-01-12,10.267,10.358,10.042,10.042,45987.0,0.0,0.0
2018-01-15,10.042,10.042,9.583,9.642,54933.0,0.0,0.0
2018-01-16,9.633,9.767,9.583,9.683,35202.0,0.0,0.0
2018-01-17,9.6,9.725,9.467,9.667,36479.0,0.0,0.0
2018-01-18,9.642,9.75,9.583,9.642,26341.0,0.0,0.0
2018-01-19,9.642,9.783,9.592,9.7,32284.0,0.0,0.0
2018-01-22,9.717,9.933,9.633,9.875,40454.0,0.0,0.0
2018-01-23,9.875,9.967,9.783,9.825,34406.0,0.0,0.0
2018-01-24,9.892,10.0,9.825,9.992,49549.0,0.0,0.0
2018-01-25,9.967,10.033,9.833,9.842,50684.0,0.0,0.0
2018-01-26,9.808,9.925,9.792,9.858,31251.0,0.0,0.0
2018-01-29,9.858,9.867,9.542,9.583,36038.0,0.0,0.0
2018-01-30,9.583,9.817,9.517,9.783,35491.0,0.0,0.0
2018-01-31,9.933,10.025,9.417,9.417,55851.0,0.0,0.0
2018-02-01,9.092,9.25,8.458,8.458,83113.0,0.0,0.0
2018-02-02,8.133,8.333,7.642,8.083,40227.0,0.0,0.0
2018-02-05,7.958,8.267,7.867,8.067,19634.0,0.0,0.0
2018-02-06,7.775,7.908,7.242,7.242,53905.0,0.0,0.0
2018-02-07,7.458,7.458,7.042,7.3,31214.0,0.0,0.0
2018-02-08,7.292,7.492,7.242,7.45,23782.0,0.0,0.0
